team,season,squad_value_eur,n_players
Everton,2024-2025,363225000.0,32
Everton,2025-2026,459250000.0,31
Everton,2026-2027,471100000.0,24
Fulham,2018-2019,254250000.0,30
Fulham,2020-2021,239750000.0,38
Fulham,2022-2023,295100000.0,44
Fulham,2023-2024,384350000.0,35
Fulham,2024-2025,362350000.0,27
Fulham,2025-2026,376200000.0,27
Fulham,2026-2027,343800000.0,22
Huddersfield,2017-2018,106050000.0,34
Huddersfield,2018-2019,137450000.0,30
Hull,2016-2017,135850000.0,35
Hull,2026-2027,144300000.0,30
Ipswich,2024-2025,270100000.0,33
Ipswich,2026-2027,277650000.0,30
Leeds,2020-2021,238100000.0,37
Leeds,2021-2022,299450000.0,32
Leeds,2022-2023,345150000.0,40
Leeds,2025-2026,374200000.0,30
Leeds,2026-2027,412950000.0,26
Leicester,2015-2016,161100000.0,31
Leicester,2016-2017,218650000.0,30
Leicester,2017-2018,304250000.0,31
Leicester,2018-2019,434100000.0,36
Leicester,2019-2020,411100000.0,29
Leicester,2020-2021,510600000.0,32
Leicester,2021-2022,526550000.0,33
Leicester,2022-2023,490700000.0,35
Leicester,2024-2025,253350000.0,36
Liverpool,2015-2016,375250000.0,39
Liverpool,2016-2017,425650000.0,36
Liverpool,2017-2018,857500000.0,33
Liverpool,2018-2019,1172400000.0,33
Liverpool,2019-2020,1002650000.0,39
Liverpool,2020-2021,969650000.0,38
Liverpool,2021-2022,918900000.0,42
Liverpool,2022-2023,811850000.0,36
Liverpool,2023-2024,955650000.0,44
Liverpool,2024-2025,950950000.0,30
Liverpool,2025-2026,980500000.0,37
Liverpool,2026-2027,999500000.0,30
Luton,2023-2024,140900000.0,40
Man City,2015-2016,499350000.0,28
Man City,2016-2017,576500000.0,33
Man City,2017-2018,1009000000.0,29
Man City,2018-2019,1203450000.0,37
Man City,2019-2020,1048675000.0,32
Man City,2020-2021,1044500000.0,34
Man City,2021-2022,1003700000.0,35
Man City,2022-2023,1145950000.0,31
Man City,2023-2024,1462500000.0,36
Man City,2024-2025,1358000000.0,40
Man City,2025-2026,1390600000.0,36
Man City,2026-2027,1465800000.0,30
Man United,2015-2016,439850000.0,34
Man United,2016-2017,531450000.0,35
Man United,2017-2018,849500000.0,33
Man United,2018-2019,797600000.0,31
Man United,2019-2020,670450000.0,39
Man United,2020-2021,770050000.0,39
Man United,2021-2022,769150000.0,39
Man United,2022-2023,847750000.0,44
Man United,2023-2024,808350000.0,40
Man United,2024-2025,825000000.0,35
Man United,2025-2026,774600000.0,32
Man United,2026-2027,874300000.0,29
Middlesbrough,2016-2017,128800000.0,35
Newcastle,2015-2016,198000000.0,38
Newcastle,2017-2018,208275000.0,36
Newcastle,2018-2019,244650000.0,34
Newcastle,2019-2020,252475000.0,34
Newcastle,2020-2021,255350000.0,33
Newcastle,2021-2022,313900000.0,32
Newcastle,2022-2023,541600000.0,37
Newcastle,2023-2024,652250000.0,41
Newcastle,2024-2025,677525000.0,33
Newcastle,2025-2026,697700000.0,33
Newcastle,2026-2027,566300000.0,24
Norwich,2015-2016,116900000.0,41
Norwich,2019-2020,145325000.0,32
Norwich,2021-2022,163200000.0,41
Nott'm Forest,2022-2023,376250000.0,47
Nott'm Forest,2023-2024,501350000.0,46
Nott'm Forest,2024-2025,481300000.0,33
Nott'm Forest,2025-2026,638675000.0,34
Nott'm Forest,2026-2027,560800000.0,30
Sheffield United,2019-2020,138600000.0,34
Sheffield United,2020-2021,149850000.0,36
Sheffield United,2023-2024,152350000.0,42
Southampton,2015-2016,225500000.0,31
Southampton,2016-2017,263750000.0,33
Southampton,2017-2018,297000000.0,28
Southampton,2018-2019,305400000.0,35
Southampton,2019-2020,210750000.0,29
Southampton,2020-2021,282800000.0,38
Southampton,2021-2022,274300000.0,31
Southampton,2022-2023,419950000.0,42
Southampton,2024-2025,310050000.0,40
Stoke,2015-2016,147000000.0,28
Stoke,2016-2017,186000000.0,30
Stoke,2017-2018,192450000.0,33
Sunderland,2015-2016,111250000.0,33
Sunderland,2016-2017,132000000.0,33
Sunderland,2025-2026,446675000.0,40
Sunderland,2026-2027,380575000.0,27
Swansea,2015-2016,145800000.0,30
Swansea,2016-2017,157100000.0,36
Swansea,2017-2018,165490000.0,33
Tottenham,2015-2016,371850000.0,27
Tottenham,2016-2017,543650000.0,34
Tottenham,2017-2018,829600000.0,30
Tottenham,2018-2019,898600000.0,30
Tottenham,2019-2020,806800000.0,32
Tottenham,2020-2021,703500000.0,38
Tottenham,2021-2022,689350000.0,36
Tottenham,2022-2023,649100000.0,31
Tottenham,2023-2024,838500000.0,39
Tottenham,2024-2025,777300000.0,35
Tottenham,2025-2026,813400000.0,39
Tottenham,2026-2027,812500000.0,31
Watford,2015-2016,137000000.0,38
Watford,2016-2017,175650000.0,40
Watford,2017-2018,196000000.0,34
Watford,2018-2019,239100000.0,39
Watford,2019-2020,199600000.0,33
Watford,2021-2022,156200000.0,41
West Brom,2015-2016,113100000.0,28
West Brom,2016-2017,123200000.0,27
West Brom,2017-2018,165950000.0,29
West Brom,2020-2021,141150000.0,35
West Ham,2015-2016,201325000.0,37
West Ham,2016-2017,273050000.0,37
West Ham,2017-2018,268100000.0,35
West Ham,2018-2019,359000000.0,32
West Ham,2019-2020,303600000.0,31
West Ham,2020-2021,336400000.0,37
West Ham,2021-2022,354900000.0,33
West Ham,2022-2023,465600000.0,39
West Ham,2023-2024,487500000.0,35
West Ham,2024-2025,400700000.0,28
West Ham,2025-2026,469725000.0,37
Wolves,2018-2019,302900000.0,33
Wolves,2019-2020,320325000.0,34
Wolves,2020-2021,450300000.0,32
Wolves,2021-2022,376950000.0,34
Wolves,2022-2023,497650000.0,40
Wolves,2023-2024,442725000.0,39
Wolves,2024-2025,433050000.0,41
Wolves,2025-2026,389850000.0,36
