team,season,n_players,avg_age,squad_value_2025_26_terms,squad_value_age_adjusted_2025_26_terms
Luton,2023-2024,40,26.3,149385515,207445113
Man City,2015-2016,28,27.7,699588602,1171062367
Man City,2016-2017,33,27.0,794038628,1515239074
Man City,2017-2018,29,25.7,1352046509,2361895623
Man City,2018-2019,37,25.6,1578831879,2591546583
Man City,2019-2020,32,25.6,1356625385,2098197500
Man City,2020-2021,34,25.4,1340471920,2115988647
Man City,2021-2022,35,24.7,1217929145,1872082287
Man City,2022-2023,31,25.8,1264157909,2186037790
Man City,2023-2024,36,25.2,1550577112,2724679484
Man City,2024-2025,40,25.8,1402377125,2730011676
Man City,2025-2026,36,25.9,1390600000,2215158843
Man City,2026-2027,28,24.9,1340827584,2348967581
Man United,2015-2016,34,24.9,616229191,1171391165
Man United,2016-2017,35,25.4,731989295,1324709698
Man United,2017-2018,33,26.5,1138318642,1871499828
Man United,2018-2019,31,26.5,1046388555,1624439170
Man United,2019-2020,39,24.4,867332099,1868941209
Man United,2020-2021,39,24.9,988253137,2139646726
Man United,2021-2022,39,26.2,933316929,2426145707
Man United,2022-2023,44,25.5,935197755,2469882881
Man United,2023-2024,40,25.2,857031801,1897884573
Man United,2024-2025,35,25.4,851959594,2107797379
Man United,2025-2026,32,24.8,774600000,1662233118
Man United,2026-2027,29,25.5,861467928,1698185682
Middlesbrough,2016-2017,35,27.3,177401865,303044676
Newcastle,2015-2016,38,25.2,277397703,436680062
Newcastle,2017-2018,36,25.5,279085715,385418759
Newcastle,2018-2019,34,26.6,320961585,398710248
Newcastle,2019-2020,34,27.1,326615962,445112882
Newcastle,2020-2021,33,26.9,327706563,467226694
Newcastle,2021-2022,32,27.9,380898634,512161789
Newcastle,2022-2023,37,28.1,597467537,883729336
Newcastle,2023-2024,41,26.5,691530886,1385240282
Newcastle,2024-2025,33,27.8,699665362,1183805060
Newcastle,2025-2026,33,27.0,697700000,1070818631
Newcastle,2026-2027,25,25.5,577694895,1244369122
Norwich,2015-2016,41,26.6,163776725,244891385
Norwich,2019-2020,32,26.7,188000652,388174975
Norwich,2021-2022,41,24.7,198033313,413799606
Nott'm Forest,2022-2023,47,26.5,415061227,705211756
Nott'm Forest,2023-2024,46,26.2,531543135,920162131
Nott'm Forest,2024-2025,33,26.3,497028064,743922780
Nott'm Forest,2025-2026,34,26.2,638675000,915629328
Nott'm Forest,2026-2027,29,25.5,544686573,795137647
Sheffield United,2019-2020,34,27.3,179300811,293668252
Sheffield United,2020-2021,36,25.6,192311840,418882328
Sheffield United,2023-2024,42,24.6,161525076,276699463
Southampton,2015-2016,31,25.7,315925162,463010424
Southampton,2016-2017,33,25.8,363274394,515523662
Southampton,2017-2018,28,26.1,397976029,517126722
Southampton,2018-2019,35,25.5,400660813,553280948
Southampton,2019-2020,29,25.5,272638138,415679911
Southampton,2020-2021,38,24.6,362934858,512576132
Southampton,2021-2022,31,25.6,332846433,756511232
Southampton,2022-2023,42,24.9,463269003,1202919069
Southampton,2024-2025,40,25.2,320181905,764683525
Stoke,2015-2016,28,28.1,205946780,446468840
Stoke,2016-2017,30,28.2,256185923,546202256
Stoke,2017-2018,33,26.7,257880427,412162121
Sunderland,2015-2016,33,28.1,155861083,392569152
Sunderland,2016-2017,33,27.0,181809365,305765274
Sunderland,2025-2026,40,24.5,446675000,939568206
Sunderland,2026-2027,27,25.7,374989314,779868314
Swansea,2015-2016,30,27.0,204265582,271367747
Swansea,2016-2017,36,27.1,216380691,301868555
Swansea,2017-2018,33,26.8,221754387,420905949
Tottenham,2015-2016,27,24.4,520961293,857354726
Tottenham,2016-2017,34,24.3,748792888,1109205994
Tottenham,2017-2018,30,25.5,1111652908,1599604497
Tottenham,2018-2019,30,26.2,1178892623,1625806566
Tottenham,2019-2020,32,25.6,1043722183,1660892541
Tottenham,2020-2021,38,25.1,902845376,1273377839
Tottenham,2021-2022,36,24.4,836484463,1210384235
Tottenham,2022-2023,31,26.0,716056459,1056824386
Tottenham,2023-2024,39,25.5,888997544,1405808625
Tottenham,2024-2025,35,24.4,802700839,2122891043
Tottenham,2025-2026,39,24.2,813400000,1784296750
Tottenham,2026-2027,30,25.3,782839150,1430057035
Watford,2015-2016,38,27.6,191936795,275857249
Watford,2016-2017,40,28.0,241930416,366330077
Watford,2017-2018,34,27.5,262637379,446289085
Watford,2018-2019,39,26.2,313680421,668255161
Watford,2019-2020,33,27.5,258213867,713658082
Watford,2021-2022,41,27.0,189539237,389148433
West Brom,2015-2016,28,28.5,158452931,281143487
West Brom,2016-2017,27,28.3,169688741,317862390
West Brom,2017-2018,29,27.6,222370781,451664847
West Brom,2020-2021,35,27.8,181146588,308715296
West Ham,2015-2016,37,25.9,282056023,396051891
West Ham,2016-2017,37,25.8,376083690,562948138
West Ham,2017-2018,35,26.6,359250415,627834995
West Ham,2018-2019,32,27.6,470979804,894596232
West Ham,2019-2020,31,27.9,392754158,703721131
West Ham,2020-2021,37,26.7,431723077,661575071
West Ham,2021-2022,33,26.5,430649650,634007272
West Ham,2022-2023,39,25.7,513627927,686843346
West Ham,2023-2024,35,26.3,516859037,733886794
West Ham,2024-2025,28,27.8,413794193,859352540
West Ham,2025-2026,37,26.6,469725000,925374136
Wolves,2018-2019,33,24.9,397381010,688661466
Wolves,2019-2020,34,24.5,414390566,733923725
Wolves,2020-2021,32,24.9,577898043,1338247314
Wolves,2021-2022,34,25.1,457405989,827012706
Wolves,2022-2023,40,25.8,548983973,839076127
Wolves,2023-2024,39,24.4,469387523,720578933
Wolves,2024-2025,41,25.4,447201336,727650190
Wolves,2025-2026,36,25.4,389850000,738711694
