team,season,squad_value_eur,n_players,cpi_index,deflator,squad_value_2025_26_terms
Man United,2021-2022,769150000.0,39,115.63,1.2134394188359423,933316929
Man United,2022-2023,847750000.0,44,127.19000000000001,1.1031527635820426,935197755
Man United,2023-2024,808350000.0,40,132.34,1.0602236663140396,857031801
Man United,2024-2025,825000000.0,35,135.87,1.0326782954294547,851959594
Man United,2025-2026,774600000.0,32,140.31,1.0,774600000
Man United,2026-2027,924300000.0,29,142.4,0.9853230337078651,910734080
Middlesbrough,2016-2017,128800000.0,35,101.87,1.3773436733091193,177401865
Newcastle,2015-2016,198000000.0,38,100.15,1.40099850224663,277397703
Newcastle,2017-2018,208275000.0,36,104.71,1.33998662973928,279085715
Newcastle,2018-2019,244650000.0,34,106.95,1.311921458625526,320961585
Newcastle,2019-2020,252475000.0,34,108.46,1.293656647612023,326615962
Newcastle,2020-2021,255350000.0,33,109.33,1.2833622976310253,327706563
Newcastle,2021-2022,313900000.0,32,115.63,1.2134394188359423,380898634
Newcastle,2022-2023,541600000.0,37,127.19000000000001,1.1031527635820426,597467537
Newcastle,2023-2024,652250000.0,41,132.34,1.0602236663140396,691530886
Newcastle,2024-2025,677525000.0,33,135.87,1.0326782954294547,699665362
Newcastle,2025-2026,697700000.0,33,140.31,1.0,697700000
Newcastle,2026-2027,606100000.0,25,142.4,0.9853230337078651,597204291
Norwich,2015-2016,116900000.0,41,100.15,1.40099850224663,163776725
Norwich,2019-2020,145325000.0,32,108.46,1.293656647612023,188000652
Norwich,2021-2022,163200000.0,41,115.63,1.2134394188359423,198033313
Nott'm Forest,2022-2023,376250000.0,47,127.19000000000001,1.1031527635820426,415061227
Nott'm Forest,2023-2024,501350000.0,46,132.34,1.0602236663140396,531543135
Nott'm Forest,2024-2025,481300000.0,33,135.87,1.0326782954294547,497028064
Nott'm Forest,2025-2026,638675000.0,34,140.31,1.0,638675000
Nott'm Forest,2026-2027,520500000.0,24,142.4,0.9853230337078651,512860639
Sheffield United,2019-2020,138600000.0,34,108.46,1.293656647612023,179300811
Sheffield United,2020-2021,149850000.0,36,109.33,1.2833622976310253,192311840
Sheffield United,2023-2024,152350000.0,42,132.34,1.0602236663140396,161525076
Southampton,2015-2016,225500000.0,31,100.15,1.40099850224663,315925162
Southampton,2016-2017,263750000.0,33,101.87,1.3773436733091193,363274394
Southampton,2017-2018,297000000.0,28,104.71,1.33998662973928,397976029
Southampton,2018-2019,305400000.0,35,106.95,1.311921458625526,400660813
Southampton,2019-2020,210750000.0,29,108.46,1.293656647612023,272638138
Southampton,2020-2021,282800000.0,38,109.33,1.2833622976310253,362934858
Southampton,2021-2022,274300000.0,31,115.63,1.2134394188359423,332846433
Southampton,2022-2023,419950000.0,42,127.19000000000001,1.1031527635820426,463269003
Southampton,2024-2025,310050000.0,40,135.87,1.0326782954294547,320181905
Stoke,2015-2016,147000000.0,28,100.15,1.40099850224663,205946780
Stoke,2016-2017,186000000.0,30,101.87,1.3773436733091193,256185923
Stoke,2017-2018,192450000.0,33,104.71,1.33998662973928,257880427
Sunderland,2015-2016,111250000.0,33,100.15,1.40099850224663,155861083
Sunderland,2016-2017,132000000.0,33,101.87,1.3773436733091193,181809365
Sunderland,2025-2026,446675000.0,40,140.31,1.0,446675000
Sunderland,2026-2027,421625000.0,29,142.4,0.9853230337078651,415436824
Swansea,2015-2016,145800000.0,30,100.15,1.40099850224663,204265582
Swansea,2016-2017,157100000.0,36,101.87,1.3773436733091193,216380691
Swansea,2017-2018,165490000.0,33,104.71,1.33998662973928,221754387
Tottenham,2015-2016,371850000.0,27,100.15,1.40099850224663,520961293
Tottenham,2016-2017,543650000.0,34,101.87,1.3773436733091193,748792888
Tottenham,2017-2018,829600000.0,30,104.71,1.33998662973928,1111652908
Tottenham,2018-2019,898600000.0,30,106.95,1.311921458625526,1178892623
Tottenham,2019-2020,806800000.0,32,108.46,1.293656647612023,1043722183
Tottenham,2020-2021,703500000.0,38,109.33,1.2833622976310253,902845376
Tottenham,2021-2022,689350000.0,36,115.63,1.2134394188359423,836484463
Tottenham,2022-2023,649100000.0,31,127.19000000000001,1.1031527635820426,716056459
Tottenham,2023-2024,838500000.0,39,132.34,1.0602236663140396,888997544
Tottenham,2024-2025,777300000.0,35,135.87,1.0326782954294547,802700839
Tottenham,2025-2026,813400000.0,39,140.31,1.0,813400000
Tottenham,2026-2027,809000000.0,27,142.4,0.9853230337078651,797126334
Watford,2015-2016,137000000.0,38,100.15,1.40099850224663,191936795
Watford,2016-2017,175650000.0,40,101.87,1.3773436733091193,241930416
Watford,2017-2018,196000000.0,34,104.71,1.33998662973928,262637379
Watford,2018-2019,239100000.0,39,106.95,1.311921458625526,313680421
Watford,2019-2020,199600000.0,33,108.46,1.293656647612023,258213867
Watford,2021-2022,156200000.0,41,115.63,1.2134394188359423,189539237
West Brom,2015-2016,113100000.0,28,100.15,1.40099850224663,158452931
West Brom,2016-2017,123200000.0,27,101.87,1.3773436733091193,169688741
West Brom,2017-2018,165950000.0,29,104.71,1.33998662973928,222370781
West Brom,2020-2021,141150000.0,35,109.33,1.2833622976310253,181146588
West Ham,2015-2016,201325000.0,37,100.15,1.40099850224663,282056023
West Ham,2016-2017,273050000.0,37,101.87,1.3773436733091193,376083690
West Ham,2017-2018,268100000.0,35,104.71,1.33998662973928,359250415
West Ham,2018-2019,359000000.0,32,106.95,1.311921458625526,470979804
West Ham,2019-2020,303600000.0,31,108.46,1.293656647612023,392754158
West Ham,2020-2021,336400000.0,37,109.33,1.2833622976310253,431723077
West Ham,2021-2022,354900000.0,33,115.63,1.2134394188359423,430649650
West Ham,2022-2023,465600000.0,39,127.19000000000001,1.1031527635820426,513627927
West Ham,2023-2024,487500000.0,35,132.34,1.0602236663140396,516859037
West Ham,2024-2025,400700000.0,28,135.87,1.0326782954294547,413794193
West Ham,2025-2026,469725000.0,37,140.31,1.0,469725000
Wolves,2018-2019,302900000.0,33,106.95,1.311921458625526,397381010
Wolves,2019-2020,320325000.0,34,108.46,1.293656647612023,414390566
Wolves,2020-2021,450300000.0,32,109.33,1.2833622976310253,577898043
Wolves,2021-2022,376950000.0,34,115.63,1.2134394188359423,457405989
Wolves,2022-2023,497650000.0,40,127.19000000000001,1.1031527635820426,548983973
Wolves,2023-2024,442725000.0,39,132.34,1.0602236663140396,469387523
Wolves,2024-2025,433050000.0,41,135.87,1.0326782954294547,447201336
Wolves,2025-2026,389850000.0,36,140.31,1.0,389850000
